540;P1-Kossuth Radio;0330-2130;1234567;Hungarian;1000;ND;Solt;HNG;465003N0190153E;MR1;;;;
540;R.KUWAIT;0000-2400;1234567;Arabic;600;ND;Sulaibiyah;KWT;290843N0474605E;MOI b22;;;;
540;Yaan Kraw haa-sii-suun;0000-2400;1234567;Thai;10;;Bangkok;THA;134736N1003110E;;;;;
549;CNR 5;2055-1705;1234567;Chinese;1200;;Putian Fujian 824;CHN;252753N1190958E;CNR5;;;;
549;NHK 1 Naha;0000-2400;1234567;Japanese;10;;Okinawa-Naha;J;261043N1274215E;JOAP;;;;
549;UR 1 Persha Programa;0000-2400;1234567;Ukrainian;400;;Mykolaiv Luch;UKR;464826N0321311E;UR 1 Feb.1,2021-;;;;
558;R.Iran;0000-2400;1234567;Persian;1000;;Goldasteh;IRN;353540N0511503E;IRIB;;;;
558;Radio Kansai (CRK);0000-2400;1234567;Japanese;20;;Kobe;J;343255N1345959E;JOCR;;;;
567;NHK 1 Sapporo;0000-2400;1234567;Japanese;100;;Sapporo;J;430522N1413527E;JOIK;;;;
567;RNE Radio 5;0000-2400;1234567;Spanish;50;ND;Murcia;E;380135N0011515W;RNE5;;;;
576;BNR Horizont;0000-2400;1234567;Bulgalian;200;ND;Gramada;BUL;435024N0224254E;BNR;;;;
576;NHK 1 Hamamatsu;0000-2400;1234567;Japanese;1;;Hamamatsu;J;344027N1374551E;JODG;;;;
576;NHK 1 Kagoshima;0000-2400;1234567;Japanese;10;;Kagoshima;J;314335N1304407E;JOHG;;;;
576;NHK 1 Ofunato;0000-2400;1234567;Japanese;0.5;;Iwate-Ofunato;J;390529N1414253E;;;;;
576;R.Myanmar;2300-1700;1234567;Burmese;100;;Yangon;MMR;165207N0960934E;MRTV //5985;;;;
585;IRIB Radio Farhang;0000-2400;1234567;Persian;1000;;Ghestagh;IRN;360110N0502333E;IRIB;;;;
585;NHK 1 Iwakuni;0000-2400;1234567;Japanese;0.3;;Iwakuni;J;340941N1321401E;;;;;
585;NHK 1 Koza;0000-2400;1234567;Japanese;0.1;;Wakayama-Koza;J;333056N1354951E;;;;;
585;NHK 1 Kushiro;0000-2400;1234567;Japanese;10;;Kushiro;J;425923N1442447E;JOPG;;;;
585;NHK 1 Maizuru;0000-2400;1234567;Japanese;0.5;;Maizuru;J;352832N1352326E;;;;;
585;RNE Radio Nacional;0000-2400;1234567;Spanish;600;;Majadahonda (Madrid);E;402907N0035228W;RNE1;;;;
585;SBC R.Riyadh;0300-2300;1234567;Arabic;1200;;Riyadh;ARS;244936N0465243E;SBA;;;;
594;ALL INDIA RADIO;0030-1730;1234567;Bengal/Hindi/English;1000;;Chinsurah;IND;230129N0882117E;AIR b22;;;;
594;NHK 1 Tokyo;0000-2400;1234567;Japanese;300;;Saitama-Kuki;J;360415N1393729E;JOAK;;;;
594;PBS Xizang;2050-1805;1234567;Tibetan;200;ND;Lhasa-Baiding 602;TIB;293856N0911511E;CTB;;;;
594;R.Myanmar;2300-1700;1234567;Burmese;200;;Naypyidaw;MMR;201056N0960827E;MRTV //5985;;;;
594;SBA Radio Riyadh;0300-1500;1234567;Arabic;2000;;Duba;ARS;272700N0353522E;BSKSA Genaral 1st;;;;
603;CHINA RADIO INTERNATIONAL;0400-0600;1234567;Vietnamese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
603;CHINA RADIO INTERNATIONAL;1100-1200;1234567;Cantonese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
603;CHINA RADIO INTERNATIONAL;1200-1700;1234567;Vietnamese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
603;CHINA RADIO INTERNATIONAL;2300-0100;1234567;Vietnamese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
603;KBS 2 Happy FM;2000-1800;1234567;Korean;500;;Hwaseong;KOR;371507N1264452E;HLSA 106.1;;;;
603;NHK 1 Obihiro;0000-2400;1234567;Japanese;5;;Obihiro;J;425853N1431158E;JOOG;;;;
603;NHK 1 Okayama;0000-2400;1234567;Japanese;5;;Okayama;J;343644N1335354E;JOKK;;;;
603;Radio Romania Actualitati;0000-2400;1234567;Romanian;50;;Oradea;ROU;465958N0220018E;SRR;;;;
603;Smooth Radio;0000-2400;1234567;English;0.4;ND;Littlebourne;G;511715N0010931E;;;;;
610;Voice of Vietnam H;2100-1700;1234567;Vietnamese;200;;Ho Chi Minh;VTN;105106N1064734E;;;;;
612;4QR ABC Brisbane;0000-2400;1234567;English;50;;Brisbane/Bald Hills;AUS;271842S1530103E;4QR;;;;
612;BRTC Al-Quran;0000-2400;1234567;Arabic;100;ND;Abu Hayan;BHR;260221N0503724E;BRTC;;;;
612;KYRGYZ RADIO 1Birinchi Radio;0000-1200;1234567;Kyrgyz;150;;Bishkek;KGZ;425242N0745920E;KGR1;;;;
612;NHK 1 Fukuoka;0000-2400;1234567;Japanese;100;;Fukuoka;J;333158N1302645E;JOLK;;;;
612;TWR HongKong;1425-1455;.2345..;Uighur;150;;Bishkek;KGZ;425242N0745920E;TWR b22;;;;
612;TWR India;1257-1400;1234567;Kazakh;150;;Bishkek;KGZ;425242N0745920E;TWR b22;;;;
612;TWR India;1400-1630;1234567;Kaz/Uig/Uzbek/;150;;Bishkek;KGZ;425242N0745920E;TWR b22;;;;
621;NHK 1 Asahikawa;0000-2400;1234567;Japanese;3;;Asahikawa;J;434547N1422452E;JOCG;;;;
621;NHK 1 Iida;0000-2400;1234567;Japanese;1;;Nagano-Iida;J;352952N1375056E;;;;;
621;NHK 1 Nobeoka;0000-2400;1234567;Japanese;1;;Miyazaki-Nobeoka;J;323423N1314116E;;;;;
621;PYONGYANG BS;0300-1300;1234567;Korean;500;;Chongjin-Nanam;KRE;414533N1294222E;KPBS;;;;
621;PYONGYANG BS;1300-2000;1234567;Korean;500;;Chongjin-Nanam;KRE;414533N1294222E;KPBS;;;;
621;VOA DEEWA RADIO;0100-0400;1234567;Pashto;200;ND;Khost;AFG;331407N0694835E;VOA/AGM Deewa R b22;;;;
621;VOA DEEWA RADIO;1300-1900;1234567;Pashto;200;ND;Khost;AFG;331407N0694835E;VOA/AGM Deewa R b22;;;;
621;Voice of Korea (KCBS);2000-2100;1234567;Korean;500;ND;Chongjin-Nanam;KRE;414533N1294222E;VOK a23;;;;
621;Voice of Korea/PBS;0700-1250;1234567;Japanese;500;;Chongjin-Nanam;KRE;414533N1294222E;VOK a23 PBS;;;;
621;Voice of Korea/PBS;2100-2350;1234567;Japanese;500;ND;Chongjin-Nanam;KRE;414533N1294222E;VOK a23;;;;
630;Radio Romania Actualitati;2000-0355;1234567;Romanian;400;;Ortisoara;ROU;455802N0211255E;SRR;;;;
630;Radio Timisoara;0400-2000;1234567;Romanian;400;;Ortisoara;ROU;455802N0211255E;SRR;;;;
630;RTV.TUNISIA;0000-2400;1234567;Arabic;600;;Tunis-Djedeida;TUN;365012N0095546E;RTT;;;;
639;Cesky rozhlas 2;0300-2300;1234567;Czech;750;;Liblice;CZE;500345N0145312E;Cesky Rozhlas;;;;
639;Myanmar Thazin Radio;0130-0200;1234567;English;400;356;Naypyidaw;MMR;220059N0963253E;MRMS;;;;
639;Myanmar Thazin Radio;0430-0700;1234567;English;400;356;Naypyidaw;MMR;220059N0963253E;MRMS;;;;
639;Myanmar Thazin Radio;0930-1500;1234567;Burmese/dialect;400;356;Naypyidaw;MMR;220059N0963253E;MRMS;;;;
639;Myanmar Thazin Radio;2330-0130;1234567;Burmese;400;356;Naypyidaw;MMR;220059N0963253E;MRMS;;;;
639;NHK 1 Oita;0000-2400;1234567;Japanese;5;;Oita;J;331453N1313430E;JOIP;;;;
639;NHK 2 Shizuoka;2100-1540;1234567;Japanese;10;;Shizuoka;J;345701N1382505E;JOPB;;;;
639;RNE Radio Nacional;0000-2400;1234567;Spanish;300;;Mesondo Bento;E;430910N0082241W;RNE1;;;;
639;STV Radio;0000-2400;1234567;Japanese;5;;Hakodate;J;414950N1404445E;JOWN;;;;
640;KFI;0000-2400;1234567;English (HD Radio);50;;Los Angeles, California;USA;335247N1180050W;More Stimulating Talk Radio;;;;
648;AFN Okinawa;0000-2400;1234567;English;10;;Okinawa;J;261612N1274226E;;;;;
648;NHK 1 Toyama;0000-2400;1234567;Japanese;5;;Toyama;J;364324N1371401E;JOIG;;;;
648;Radio Caroline;0000-2400;1234567;English;1;;Orfordness;G;520611N0013427E;;;;;
648;Radio Murski Val;0000-2400;1234567;Slovenian;10;;Nemcavci;SVN;464108N0161026E;;;;;
657;PYONGYANG BS;2100-2000;1234567;Korean;1500;;Pyongyang;KRE;4014N12549E;KPBS;;;;
657;RAI Radio Uno(1);0600-2400;1234567;Italian;100;;Napoli;I;433816N0102517E;RAI;;;;
657;South korean Jamming;0000-2400;1234567;Jamming;;;Seoul area;KOR;;;;;;
666;Haixia zhi Sheng(VO Strait);2225-1700;1234567;Chinese;600;;Fuzhou/Songnancun;CHN;253241N1194826E;VOS N a22;;;;
666;IRIB Radio Fars;0000-2400;1234567;Persian;400;;Shiraz Dehnow;IRN;292700N0523844E;IRIB;;;;
666;NHK 1 Osaka;0000-2400;1234567;Japanese;100;;Osaka;J;343302N1353401E;JOBK;;;;
675;NHK 1 Hakodate;0000-2400;1234567;Japanese;5;;Hakodate;J;414843N1404518E;JOVK;;;;
675;NHK 1 Yamaguchi;0000-2400;1234567;Japanese;5;;Yamaguchi-Hofu;J;340150N1313038E;JOUG;;;;
675;Qtar RTC;0000-2400;1234567;Arabic;600;;Al-Arish;QAT;252405N0512835E;QMC;;;;
684;CHINA RADIO INTERNATIONAL;1030-1130;1234567;Khmer;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CHINA RADIO INTERNATIONAL;1200-1300;1234567;English;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CHINA RADIO INTERNATIONAL;1300-1400;1234567;Vietnamese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CHINA RADIO INTERNATIONAL;1400-1500;1234567;Khmer;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CHINA RADIO INTERNATIONAL;1500-1700;1234567;Vietnamese;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CHINA RADIO INTERNATIONAL;2300-0100;1234567;Khmer;600;;Dongfang Hainan 871;CHN;185333N1083920E;CRI a23;;;;
684;CNR 1 Voice of China;0000-2400;1234567;Chinese;50;ND;Huadu-Guangdong 522;CHN;232430N1131410E;CNR1;;;;
684;CNR 6;2155-1605;1234567;Chinese;1200;;Putian Fujian 824;CHN;252753N1190958E;CNR6;;;;
684;IBC Iwate Hoso;0000-2400;1234567;Japanese;0.1;;Iwaizumi;J;395043N1414633E;;;;;
684;IBC Iwate Hoso;0000-2400;1234567;Japanese;0.1;;Kuji;J;401236N1414412E;;;;;
684;IBC Iwate Hoso;0000-2400;1234567;Japanese;5;;Morioka;J;393643N1410739E;;;;;
684;IBC Iwate Hoso;0000-2400;1234567;Japanese;1;;Ofunato;J;390229N1414420E;JOLO;;;;
684;NHK 1 Nagasaki;0000-2400;1234567;Japanese;5;;Nagasaki;J;324314N1295302E;JODF;;;;
684;RNE Radio Nacional;0000-2400;1234567;Spanish;600;;Sevilla/Los Palacios;E;371235N0055533W;RNE1;;;;
693;4KQ Classic Hits;0000-2400;1234567;English;10;;Brisbane/St. Helena Island;AUS;272247S1531402E;4KQ;;;;
693;BBC Radio 5 Live;0000-2400;1234567;English;80;;Start Point;G;501342N0033950W;BBCR5;;;;
693;BBC Radio 5 Live;0000-2400;1234567;English;150;;Droitwich;G;521740N0020620W;BBCR5;;;;
693;IRIB Radio Khalij-e Fars;0000-2400;1234567;Persian;100;ND;	Bandar-e Lengeh;IRN;263104N0543731E;IRIB 621/1395;;;;
693;NHK 2 Tokyo;2100-1540;1234567;Japanese;300;;Saitama-Kuki;J;360415N1393729E;JOAB;;;;
693;R.BANGLADESH BETAR;0030-0610;1234567;Bengali;1000;ND;Dhamrai;BGD;235421N0901157E;BANGL;;;;
693;R.BANGLADESH BETAR;0830-1730;1234567;Bengali;1000;ND;Dhamrai;BGD;235421N0901157E;BANGL;;;;
702;ALL INDIA RADIO;0015-0430;1234567;Urdu;200;;Jalandhar;IND;310900N0754647E;AIR;;;;
702;ALL INDIA RADIO;0800-1930;1234567;Punjabi/Urdu;200;;Jalandhar;IND;310900N0754647E;AIR;;;;
702;NHK 2 Hiroshima;2100-1540;1234567;Japanese;10;;Hiroshima;J;342609N1322812E;JOFB;;;;
702;NHK 2 Kitami;2100-1540;1234567;Japanese;10;;Kitami;J;435722N1441322E;JOKD;;;;
702;SRo 3 Rádio Devín;1700-0500;1234567;Slovak;5;;Cizatice;SVK;484802N0212353E;SRO;;;;
711;KBS 1;0000-2400;1234567;Korean;500;;Incheon;KOR;372434N1264732E;HLKA;;;;
711;Radio Romania Actualitati;0000-2400;1234567;Romanian;50;;Sighet Maramuresh;ROU;475238N0235635E;SRR;;;;
711;Voice of Vietnam 1;2145-1700;1234567;Vietnamese;500;;Can Tho;VTN;100757N1053420E;VOV1;;;;
720;Chubu Nippon Hoso (CBC);0000-2400;1234567;Japanese;0.1;;Mie-Kumano;J;335225N1360455E;;;;;
720;Gifu Radio (GBS);0000-2400;1234567;Japanese;0.1;;Takayama;J;360923N1371522E;JOZO;;;;
720;Gifu Radio (GBS);0000-2400;1234567;Japanese;0.1;;Kamioka;J;361930N1371756E;;;;;
720;KBC Radio;0000-2400;1234567;Japanese;1;;Kitakyushu;J;335624N1304805E;JOIL;;;;
720;Radio Romania Actualitati;0000-2400;1234567;Romanian;14;;Baia Mare/Nufolor/Sinai;ROU;450900N0285528E;SRR;;;;
720;VO ISLAMIC REP.IRAN;0025-0050;1234567;Persian;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;VO ISLAMIC REP.IRAN;0050-0220;1234567;Tajik;400;;Taybad;IRN;344419N0604749E;IRIB a23;;;;
720;VO ISLAMIC REP.IRAN;0220-0250;1234567;Uzbek;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;VO ISLAMIC REP.IRAN;0250-1450;1234567;Dari;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;VO ISLAMIC REP.IRAN;1450-1550;1234567;Uzbek;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;VO ISLAMIC REP.IRAN;1550-1720;1234567;Tajik;400;;Taybad;IRN;344419N0604749E;IRIB a23;;;;
720;VO ISLAMIC REP.IRAN;1820-1920;1234567;Dari Voice of Khora;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;VO ISLAMIC REP.IRAN;1920-2250;1234567;Persian;400;;Taybad;IRN;344419N0604749E;IRIB b22;;;;
720;Voice of Vietnam P;2200-1500;1234567;Vietnamese;10;;Ho Chi Minh;VTN;105049N1063733E;VOVP;;;;
729;ERA Net;0000-2400;1234567;Greek;100;;Athinai;GRC;380901N0235138E;ERA;;;;
729;Jiangxi PBS, News Service;2000-1730;1234567;Chinese;200;;Nanchang 561;CHN;283654N1160310E;PBS;;;;
729;NHK 1 Nagoya;0000-2400;1234567;Japanese;50;;Nagoya;J;350226N1364655E;JOCK;;;;
729;RNE Radio Nacional;0000-2400;1234567;Spanish;100;;Asturias;E;432311N0055110W;RNE1;;;;
738;IRIB, Regional service Radio Bu;0000-2400;1234567;Persian;50;;Bandar Dayyer;IRN;275038N0515540E;IRIB;;;;
738;Jilin PBS, News and General Serv;0000-2400;1234567;Chinese;150;ND;Nanguan, Changchun, Jili;CHN;434524N1252416E;PBS;;;;
738;Kita Nihon Hoso (KNB);0000-2400;1234567;Japanese;1;;ToyamaTakaoka;J;364658N1370225E;KNB;;;;
738;Kita Nihon Hoso (KNB);0000-2400;1234567;Japanese;5;;Toyama;J;364314N1371452E;JOLR;;;;
738;PBS Xinjiang;2300-1800;1234567;Chinese;;;Kashi/XJTS635;TKS;392435N0755517E;XJBS;;;;
738;PBS Xinjiang;2300-1800;1234567;Chinese;120;ND;Urumqi/Hutubi-XJTS631;TKS;440940N0865529E;XJBS;;;;
738;RNE Radio Nacional;0000-2400;1234567;Spanish;600;;Palau de Plegamans;E;413333N0021121E;RNE1;;;;
738;Ryukyu Hoso (RBC);0000-2400;1234567;Japanese;10;;Naha-Kakazu;J;261110N1274205E;JORR;;;;
740;KCBS;0000-2400;1234567;English (HD Radio);50;;San Francisco, Californi;USA;380822N1223148W;All News 740;;;;
747;CNR 12 Voice of Reading;2100-1800;1234567;Chinese;10;;Beijing 582;CHN;395308N1162347E;CNR 12;;;;
747;IRIB Radio Kerman;0000-2400;1234567;Persian;150;;Sirjan;IRN;293649N0554817E;IRIB;;;;
747;NHK 2 Sapporo;2100-1540;1234567;Japanese;500;;Sapporo;J;430534N1413622E;JOIB;;;;
747;RNE Radio 5;0000-2400;1234567;Spanish;10;;Puert Santa Maria;E;280052N0153525W;RNE5;;;;
756;AM 756;1100-1900;1234567;Korean;100;340;Misan, Gyeonggi-do;KOR;380101N1265922E;NIS b21;;;;
756;CNR 1 Voice of China;0000-2400;1234567;Chinese;50;ND;Huadu-Guangdong 522;CHN;232421N1131419E;CNR1;;;;
756;CNR 1 Voice of China;2025-1805;1234567;Chinese;100;ND;Harbin Heilongjiang 904;CHN;454143N1264903E;CNR1;;;;
756;NHK 1 Kumamoto;0000-2400;1234567;Japanese;10;;Kumamoto;J;325024N1304338E;JOGK;;;;
756;Radio Romania Actualitati;0600-2200;1234567;Romanian;400;;Lugoj/Boldur;ROU;454119N0214754E;SRR;;;;
765;CNR 5;2055-1705;1234567;Chinese;600;;Fuzhou 552;CHN;260550N1193800E;CNR5;;;;
765;VO ISLAMIC REP.IRAN;0120-0220;1234567;Urdu;1000;;Chabahar;IRN;252846N0603218E;IRIB b22;;;;
765;VO ISLAMIC REP.IRAN;0230-1250;1234567;Arabic;1000;;Chabahar;IRN;252846N0603218E;IRIB a23;;;;
765;VO ISLAMIC REP.IRAN;1250-1350;1234567;Urdu;1000;;Chabahar;IRN;252846N0603218E;IRIB b22;;;;
765;VO ISLAMIC REP.IRAN;1520-1620;1234567;Urdu;1000;;Chabahar;IRN;252846N0603218E;IRIB b22;;;;
765;VO ISLAMIC REP.IRAN;1630-1930;1234567;Arabic;1000;;Chabahar;IRN;252846N0603218E;IRIB a23;;;;
765;VO ISLAMIC REP.IRAN;1930-2030;1234567;Arabic Voice of Pal;1000;;Chabahar;IRN;252846N0603218E;IRIB b22;;;;
765;VO ISLAMIC REP.IRAN;2030-0120;1234567;Arabic;1000;;Chabahar;IRN;252846N0603218E;IRIB a23;;;;
765;Yamaguchi Hoso (KRY);0000-2400;1234567;Japanese;5;;Shunan;J;340204N1314237E;JOPF;;;;
765;Yamaguchi Hoso (KRY);0000-2400;1234567;Japanese;0.3;;Yamaguchi;J;340750N1312634E;JOPO;;;;
765;Yamaguchi Hoso (KRY);0000-2400;1234567;Japanese;0.3;;Susa Tamagawa;J;343749N1313722E;;;;;
765;Yamanashi Hoso (YBS);0000-2400;1234567;Japanese;1;;Fujiyoshida;J;352945N1384839E;JOJL;;;;
765;Yamanashi Hoso (YBS);0000-2400;1234567;Japanese;1;;Ootsuki Uenohara;J;353741N1390220E;;;;;
765;Yamanashi Hoso (YBS);0000-2400;1234567;Japanese;5;;Kofu;J;354051N1383030E;JOJF;;;;
774;National Unity Radio;1800-1955;1234567;Korean;10;ND;Chuncheon;KOR;375625N1274321E;HLAN/MBC b21;;;;
774;NHK 2 Akita;2100-1540;1234567;Japanese;500;;Akita;J;395702N1395610E;JOUB;;;;
774;RNE Radio Nacional;0000-2400;1234567;Spanish;100;;Valencia/El Palmar;E;391803N0001921W;RNE1;;;;
783;AIR Vividh Bharati/FM Rainbow;1230-1740;1234567;Hind/Tamil/Eng.;20;ND;Chennai (Madras);IND;130829N0800737E;AIR;;;;
783;COPE;0000-2400;1234567;Spanish;50;;Barcelona;E;412803N0021548E;EAJ39;;;;
783;Haixia zhi Sheng(VO Strait);2130-1900;1234567;Amoy;600;;Fotan/Houxu Cun;CHN;240921N1175545E;VOS Amoy a22;;;;
783;R. of Syrian Arab Republic;0300-0300;1234567;Arabic;300;;Tartus;SYR;345034N0355421E;;;;;
792;4RN ABC Radio National;0000-2400;1234567;English;25;;Brisbane/Bald Hills;AUS;271842S1530103E;4RN;;;;
792;NHK 1 Enbetsu;0000-2400;1234567;Japanese;1;;Hokkaido-Enbetsu;J;444251N1414739E;NHK1;;;;
792;NHK 1 Esashi;0000-2400;1234567;Japanese;0.3;;Hokkaido-Esashi;J;415144N1400841E;NHK1;;;;
792;NHK 1 Imabari;0000-2400;1234567;Japanese;0.1;;Ehime-Imabari;J;340258N1330025E;NHK1;;;;
792;NHK 1 Iwaizumi;0000-2400;1234567;Japanese;0.1;;Iwate-Iwaizumi;J;395043N1414633E;NHK1;;;;
792;NHK 1 Naze;0000-2400;1234567;Japanese;1;;Kagoshima-Naze;J;282409N1292929E;NHK1;;;;
792;NHK 1 Ozu;0000-2400;1234567;Japanese;0.1;;Ehime-Ozu;J;333119N1323329E;NHK1;;;;
792;NHK 1 Takada;0000-2400;1234567;Japanese;1;;Niigata-Takada;J;370636N1381707E;NHK1;;;;
